,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Avg_Utilization_Ratio,Pay_on_time,Random_numbers
0,708082083,no,45,female,3,secondary,married/living with partner,3817.256441657455,blue,36,3544.0,0.469,0,0.686812064743699
1,708084558,yes,46,male,3,third level,divorced,87538.04677878672,blue,38,8258.0,0.214,0,0.561856884623892
2,708085458,no,34,female,2,primary,single,12746.890072742448,blue,24,1438.3,0.0,1,0.0410559637908287
3,708098133,no,32,female,0,third level,married/living with partner,18464.624778659792,blue,19,2834.0,0.5,0,0.0138941258984308
4,708099183,no,37,female,2,secondary,single,26064.61639584498,blue,36,5723.0,0.327,0,0.739904014427843
5,708100533,no,55,female,3,third level,single,17435.595917685096,blue,36,2679.0,0.85,0,0.609360049099306
6,708103608,no,52,male,1,secondary,single,55994.14640373942,blue,45,11898.0,0.212,0,0.304498239333836
7,708104658,no,46,male,1,third level,#NULL!,35258.82737346292,blue,36,1438.3,0.619,0,0.88001039430532
8,708112008,no,56,male,2,third level,married/living with partner,74945.17089776939,blue,36,23510.0,0.045,0,0.644873682145017
9,708113208,no,53,female,1,secondary,married/living with partner,23093.351310106733,blue,36,1688.0,0.0,1,0.551914808667549
10,708117933,yes,44,female,2,third level,divorced,23316.722752839498,blue,36,1880.0,0.0,1,0.405112593734325
11,708119658,no,49,female,4,third level,married/living with partner,39249.08304334955,blue,38,12836.0,0.081,0,0.841502653037477
12,708123033,no,41,female,3,third level,single,26292.4157704028,gold,30,11463.0,0.0,1,0.499136750823342
13,708125733,no,46,female,2,third level,divorced,5253.203000156798,blue,36,1438.3,0.0,1,0.418270390626581
14,708129933,no,45,female,4,third level,single,16863.78872545507,blue,36,2072.0,0.745,0,0.781611096535783
15,708134283,no,35,male,2,primary,married/living with partner,11164.591579590224,blue,36,3131.0,0.201,0,0.251654941373727
16,708136908,no,62,female,0,third level,single,29682.45043796979,blue,53,2616.0,0.306,0,0.77763123622605
17,708139833,yes,40,male,3,third level,#NULL!,64954.691886201865,blue,30,6391.0,0.0,1,0.31606643840786
18,708145908,no,61,female,0,third level,married/living with partner,42835.210143237986,blue,50,4906.0,0.445,0,0.432875321392414
19,708151008,no,49,female,4,third level,married/living with partner,37590.20705502845,blue,41,6250.0,0.103,0,0.612087774911505
20,708152358,yes,54,male,1,third level,#NULL!,100872.95965352969,blue,36,18512.0,0.09,0,0.85148118614111
21,708153558,no,46,male,5,third level,divorced,122964.10179417307,blue,31,34516.0,0.052,0,0.139414501186484
22,708154833,yes,39,female,2,third level,single,27867.713219040506,blue,27,1438.3,0.564,0,0.495292486198339
23,708155733,no,53,male,2,secondary,single,141573.34183644268,blue,44,14734.0,0.111,0,0.281327770768646
24,708158133,yes,45,male,3,third level,married/living with partner,99235.0825419584,blue,36,3031.0,0.83,0,0.870049798920514
